,0,1,2,3
267,2,1,0,0
268,1,2,0,0
269,1,0,2,0
270,2,1,0,0
271,2,1,0,0
272,2,1,0,0
273,1,1,0,1
274,2,0,1,0
275,2,0,1,0
276,2,1,0,0
277,2,0,1,0
278,2,1,0,0
279,1,1,1,0
280,2,0,1,0
281,1,0,1,1
282,1,1,1,0
283,2,1,0,0
284,2,0,1,0
285,1,1,1,0
286,1,2,0,0
287,2,1,0,0
288,0,3,0,0
289,2,1,0,0
290,2,0,1,0
291,0,1,2,0
292,1,1,1,0
293,2,1,0,0
294,2,1,0,0
295,0,2,0,1
296,1,1,1,0
297,2,1,0,0
298,2,0,1,0
299,2,1,0,0
300,1,1,0,1
301,1,2,0,0
302,0,3,0,0
303,0,1,1,1
304,2,0,1,0
305,1,1,1,0
306,3,0,0,0
307,0,2,1,0
308,2,1,0,0
309,3,0,0,0
310,1,2,0,0
311,0,2,1,0
312,2,0,0,1
313,2,1,0,0
314,3,0,0,0
315,2,1,0,0
316,2,1,0,0
317,2,0,1,0
318,1,1,1,0
319,1,2,0,0
320,2,1,0,0
321,1,0,2,0
322,0,2,1,0
323,2,1,0,0
324,3,0,0,0
325,0,1,2,0
326,1,1,1,0
327,1,1,1,0
328,2,1,0,0
329,1,1,1,0
330,2,0,1,0
331,0,2,1,0
332,1,2,0,0
333,2,1,0,0
334,3,0,0,0
335,1,1,1,0
336,1,1,1,0
337,1,1,1,0
338,2,1,0,0
339,0,2,1,0
340,2,0,1,0
341,2,1,0,0
342,1,2,0,0
343,2,1,0,0
344,1,1,1,0
345,1,1,1,0
346,0,0,3,0
347,2,1,0,0
348,0,2,1,0
349,2,0,1,0
350,1,2,0,0
351,1,1,1,0
352,0,1,2,0
353,2,1,0,0
354,1,1,1,0
355,3,0,0,0
356,2,1,0,0
357,0,2,1,0
358,1,1,0,1
359,2,0,1,0
360,1,0,2,0
361,1,1,1,0
362,1,1,1,0
363,0,1,1,1
364,2,1,0,0
365,1,2,0,0
366,1,1,1,0
367,1,1,1,0
368,0,3,0,0
369,2,0,1,0
370,1,1,0,1
371,2,1,0,0
372,1,0,2,0
373,1,1,1,0
374,0,1,1,1
375,2,0,1,0
376,1,1,0,1
377,1,0,1,1
378,1,2,0,0
379,0,2,1,0
380,1,2,0,0
381,0,1,2,0
382,2,0,1,0
383,3,0,0,0
384,1,2,0,0
385,0,1,2,0
386,1,2,0,0
387,1,1,1,0
388,1,1,1,0
389,1,1,1,0
390,1,0,2,0
391,2,1,0,0
392,1,1,1,0
393,1,1,1,0
394,2,1,0,0
395,0,1,1,1
396,2,1,0,0
397,0,1,2,0
398,2,1,0,0
399,1,1,1,0
400,1,1,0,1
401,3,0,0,0
402,1,1,1,0
403,2,1,0,0
404,1,1,1,0
405,1,0,2,0
406,1,2,0,0
407,2,1,0,0
408,2,0,1,0
409,1,2,0,0
410,0,3,0,0
411,2,1,0,0
412,1,1,1,0
413,1,0,1,1
414,2,1,0,0
415,1,2,0,0
416,0,2,0,1
417,0,1,2,0
418,2,0,1,0
419,1,1,1,0
420,1,1,1,0
421,1,1,1,0
422,2,1,0,0
423,3,0,0,0
424,3,0,0,0
425,0,2,0,1
426,1,2,0,0
427,1,2,0,0
428,2,1,0,0
429,0,2,1,0
430,1,2,0,0
431,1,2,0,0
432,2,0,0,1
433,0,0,3,0
434,2,0,1,0
435,1,1,0,1
436,1,2,0,0
437,1,0,2,0
438,1,2,0,0
439,1,0,1,1
440,1,1,1,0
441,3,0,0,0
442,1,1,1,0
443,1,1,1,0
444,2,1,0,0
445,0,2,1,0
446,3,0,0,0
447,2,0,1,0
448,1,2,0,0
449,1,1,0,1
450,3,0,0,0
451,2,1,0,0
452,1,1,1,0
453,1,0,2,0
454,2,1,0,0
455,2,1,0,0
456,1,1,1,0
457,2,1,0,0
458,1,2,0,0
459,1,2,0,0
460,2,1,0,0
461,0,3,0,0
462,1,2,0,0
463,3,0,0,0
464,1,0,2,0
465,2,0,1,0
466,3,0,0,0
467,2,1,0,0
